SOURCE_ID,teff_gspphot,lum_flame,radius_flame,parallax_over_error,ruwe,spectral
143287534994893056,3813.815,0.10134655,0.72844535,32.168648,0.9985483,M (3000-3900)
143292207919348608,5897.2974,1.4570868,1.1567278,73.45565,1.1138482,G (5300-6000)
143296159289249664,4493.175,0.16314949,0.6667006,20.682209,1.0721371,K (3900-5300)
143299389104623232,5701.5054,0.7995787,0.9169299,24.719141,0.9496934,G (5300-6000)
143300660414923264,4477.684,0.2123534,0.76664335,24.565413,0.9856341,K (3900-5300)
143302275322632960,6053.7485,1.7773895,1.2042954,31.239697,0.941534,F (6000-7500)
143306707729044864,4877.694,0.2653392,0.72238463,214.91028,1.0126287,K (3900-5300)
143306845167999360,5822.945,1.5308961,1.2146629,38.390553,1.0578476,G (5300-6000)
143319210377530624,5446.6836,2.7052913,1.8838941,92.718315,0.92229384,G (5300-6000)
143333748842861696,3594.692,0.07136745,0.6889489,30.787113,1.022427,M (3000-3900)
143334161159960960,5732.1553,1.4976755,1.240853,25.001434,1.00594,G (5300-6000)
143335191952106624,3457.131,0.021935765,0.41729409,34.152096,1.119319,M (3000-3900)
143335535549488512,3648.3489,0.053754505,0.580178,21.04399,1.0633643,M (3000-3900)
143339967955441024,4147.4844,0.10715919,0.637267,63.676502,0.97203535,K (3900-5300)
143351615906900224,5595.47,0.748018,0.9219784,52.832066,0.9887972,G (5300-6000)
143356976026042496,5697.857,4.51054,2.1808949,37.17844,1.0508238,G (5300-6000)
143359930963374592,3592.719,0.03574249,0.48740134,35.89716,0.94874126,M (3000-3900)
143363985412492032,4366.5425,0.16966468,0.71615154,67.15238,1.2484901,K (3900-5300)
143364706966997888,4721.727,0.2436532,0.7418029,20.427673,1.0202279,K (3900-5300)
143366356234424448,5656.9463,0.86861265,0.98036224,28.181501,0.99727774,G (5300-6000)
143371643339066112,5121.1504,0.33687872,0.736032,22.676342,0.91556823,K (3900-5300)
143378824523592320,5836.8,2.272438,1.5075164,127.566505,0.966234,G (5300-6000)
143381062202611072,4680.2314,0.20957626,0.70572704,24.942266,1.0470519,K (3900-5300)
143396524084818304,3377.2485,0.020925304,0.4248028,46.51083,1.0167466,M (3000-3900)
143403155514283264,6332.771,3.2481863,1.504987,20.453674,0.91928005,F (6000-7500)
143412050389965568,3573.8052,0.015379049,0.3236351,66.06044,1.0184033,M (3000-3900)
143429127179883264,5528.3276,1.3053067,1.2602878,47.621582,0.90830505,G (5300-6000)
143430226691664768,5437.5713,0.99072856,1.1203306,87.77967,1.2055973,G (5300-6000)
143430780744622976,5097.082,0.5708753,0.96932334,39.267418,0.9173756,K (3900-5300)
143435586810689792,6116.048,1.3220053,1.0162641,92.5252,1.0347775,F (6000-7500)
