source_id,spec_class,teff_K,L_Lsun,R_gaia_Rsun,R_derived_Rsun,R_resid_pct
2235959016523679232,M,3526.185,0.03424061,0.49658427,0.49580822,-0.15627819
2891939061087613824,M,3754.2275,0.054623105,0.55326605,0.55245916,-0.14584107
1975300371915698048,M,3500.5596,0.012619325,0.3066092,0.30541915,-0.38813094
3416964448987341952,M,3478.8157,0.027682213,0.45956182,0.45802662,-0.33405697
1045740703110245504,M,3484.6091,0.032221887,0.4916921,0.49251619,0.1676033
4940702473471216384,M,3418.0652,0.014598944,0.34349114,0.34455075,0.30848185
2027529235828297600,M,3810.9624,0.1060205,0.7481205,0.74692801,-0.15939791
6228772683188835712,M,3475.5344,0.017392902,0.36414054,0.36374414,-0.10885963
451123951521676160,M,3558.992,0.037083708,0.506229,0.50651314,0.056128134
5604844467734042752,M,3421.0933,0.0064158356,0.23974325,0.22800792,-4.8949564
502861303662951040,M,3763.592,0.03267316,0.42581287,0.42515144,-0.15533284
6762143673583410944,M,3677.9,0.091654226,0.7601347,0.74564065,-1.9067744
4328507421466844672,M,3371.3765,0.010251727,0.29677063,0.29678173,0.0037413058
289747564759787008,M,3319.086,0.016560642,0.40378243,0.38918378,-3.6154737
1006825202737100672,M,3569.413,0.03306151,0.47443944,0.47546757,0.21670433
5865264896327671680,M,3465.941,0.039752364,0.55402344,0.55295821,-0.19227178
163614103379644800,M,3779.57,0.07174157,0.62525105,0.62467455,-0.092202911
2543345011236776320,M,3403.7236,0.014667664,0.348494,0.34827722,-0.062205652
3548011327188541184,M,3406.7876,0.030934641,0.49892488,0.504877,1.1929889
4267180339403392768,K,5217.329,1.2433164,1.4037427,1.3647325,-2.7790112
3586362911238437248,K,4150.484,0.083724834,0.55942535,0.55960659,0.032397593
4193530996087613440,K,4956.373,0.8598801,1.2595648,1.2576047,-0.15561878
1031890945409209984,K,4490.0825,0.15387717,0.64400053,0.64823371,0.6573262
5437400804010113792,K,5107.435,0.50804853,0.9072193,0.91033253,0.34316219
2975354438442535808,K,5213.195,0.5149224,0.87421185,0.87966257,0.62350109
5853519840059113600,K,4312.548,0.14027207,0.6750007,0.67092022,-0.6045151
5960983014177620480,K,5087.5186,2.0075047,1.81673,1.8237673,0.38736118
1816579752413057920,K,4834.5303,0.24299207,0.70132434,0.70265257,0.18938865
5577759063929081216,K,5220.2456,0.6625314,0.99430585,0.99511786,0.081666259
4469629532735741568,K,4445.505,0.17959787,0.715441,0.71443306,-0.14088315
3465353135388770688,K,4793.9775,0.4117425,0.9162048,0.93019506,1.5269791
5616287738079589376,K,4462.5376,0.14616713,0.63989437,0.63960853,-0.04467057
3357708404410769536,K,4481.4785,0.21154518,0.758037,0.76297814,0.65183326
957326907241552384,K,4404.768,0.12349227,0.60396165,0.6034301,-0.088010515
426532072602628608,K,5241.1074,0.5647906,0.91176164,0.91148762,-0.030054385
5274346803019373312,K,5026.8135,0.55992657,0.9853406,0.98658192,0.12597905
2040415890049195136,K,5028.4336,0.63624686,1.0416653,1.0509948,0.89562858
2267983082955011840,K,4973.397,0.44511253,0.89747673,0.89863187,0.12870927
408502933757249152,K,4786.675,0.20393538,0.6567903,0.6566464,-0.021909825
3749855239408468352,K,4405.8687,0.32785752,0.9822752,0.98272643,0.045936805
6885384053585030400,K,5226.594,0.49535412,0.8584892,0.858368,-0.014117652
5901263113155908736,K,4300.4644,0.13596202,0.6641831,0.66424952,0.010000732
2055701060198641536,K,4251.2944,0.16516213,0.74915665,0.74914526,-0.0015201331
2080043526065481344,K,4349.5796,0.11706048,0.6697807,0.60250929,-10.043797
1986688494875924224,K,4779.4985,0.32183638,0.81685054,0.827382,1.2892764
4579670889827432192,K,5037.8057,0.95256764,1.2831222,1.2812039,-0.14950392
5896186358730705920,K,4335.0835,0.18563461,0.7622307,0.76381415,0.20773944
542552436476985600,K,5215.588,0.55136275,0.9079503,0.90942171,0.16205828
5355511720621464832,K,5107.513,0.347831,0.7562144,0.75321393,-0.39677531
2820891986953844608,K,5245.805,0.60651505,0.94299126,0.94286533,-0.013354372
4844597387605526016,K,4216.937,0.083830535,0.5579569,0.54245043,-2.7791528
2034379502533178496,K,4373.665,0.13487822,0.6458371,0.63963621,-0.96013176
4624170015185173248,K,4394.013,0.17907302,0.7215515,0.73020628,1.1994684
1929594223296326400,K,4976.292,0.2994534,0.7354412,0.73621739,0.10554105
6630937512233309568,K,4528.7983,0.41851872,1.0400168,1.0508595,1.0425488
2656545613126673536,K,4401.841,0.1582746,0.6831146,0.6840535,0.13744431
5669457165451867648,K,4874.2246,0.42756245,0.9184675,0.916942,-0.16609209
3819698966783247616,K,4939.2524,0.35361922,0.8129275,0.8120797,-0.10429012
1076862001777410304,K,5284.688,0.8558008,1.0949805,1.1035723,0.7846554
4832937827003624960,K,5215.542,0.5159263,0.8787661,0.87972736,0.10938778
2207227265863692032,K,4315.2334,0.18672381,0.7716459,0.77311559,0.19046146
4755805883734326656,K,4464.7065,0.18613017,0.72004604,0.72106716,0.14181362
5941625360381314432,K,5163.9434,0.7137193,1.060478,1.0554895,-0.47039718
2202403158603348224,K,4217.055,0.10186917,0.600057,0.59793781,-0.3531653
3607931309286941568,K,4704.464,0.26016593,0.7691262,0.76781762,-0.17013872
6054060594826205312,K,5281.5356,0.91288817,1.1404004,1.1411468,0.065453169
3563584393270893184,K,4390.97,0.1819891,0.73860353,0.73714837,-0.19701501
6884587182532681600,K,4590.185,0.18632635,0.682376,0.68254285,0.024451036
3075955904089799552,K,4602.726,0.20692518,0.7157782,0.71536813,-0.057290276
4823917158731790592,K,4348.4526,0.15333429,0.68614596,0.68992729,0.55109692
4678224446347537152,K,5066.6006,0.44644484,0.86837834,0.86716896,-0.13926873
4892579873179978368,K,4316.212,0.20647463,0.82784563,0.81260778,-1.8406638
1554206453762990720,K,4471.7217,0.16700858,0.6793464,0.68088383,0.22630967
6396246171162733312,K,4694.356,0.25094482,0.7567048,0.75733885,0.083790841
2285141752180512512,K,4717.7524,0.23839797,0.73092765,0.73085992,-0.0092656497
3067180942310246912,K,5172.9805,0.34040388,0.7273573,0.72638811,-0.13324759
115566372957605376,K,5019.8584,0.47434378,0.9113418,0.91057733,-0.083884318
5335437284017631616,K,5032.405,0.40746137,0.8508218,0.83974072,-1.3023978
2167472395748962048,K,4619.649,0.23542511,0.7577827,0.7574633,-0.042149776
4352607548116083456,K,4984.1333,0.7954373,1.0391172,1.1961257,15.109802
6440009276569495936,K,5129.9097,0.3677984,0.76216674,0.76778326,0.7369146
6306778806931054464,K,4360.872,0.14476565,0.6639185,0.66655999,0.39786417
6815094263790919040,K,4278.3906,0.11466347,0.6131675,0.61631798,0.51380428
6672856805353132288,K,4361.3794,0.23203307,0.84680146,0.84368508,-0.368018
525553368239342336,K,4403.6606,0.13054173,0.62033993,0.62072632,0.062287514
4844948857665632768,K,4822.3267,0.2516245,0.7184955,0.71864824,0.021257922
1858938128637245184,K,5025.1743,0.5169969,0.9371826,0.94862567,1.221007
561261210938082560,K,5004.2983,0.37422064,0.8099724,0.81382429,0.47555873
2273028329497745792,K,4481.3774,0.36444408,1.030191,1.0014876,-2.7862223
414435692339847808,K,4614.7163,0.20079307,0.70334107,0.70103146,-0.32837724
6341542581463032704,K,5084.3774,0.7085311,1.0612608,1.0848184,2.219779
5194174057253755008,K,4556.78,0.2501539,0.80153483,0.80249194,0.11940915
5314942490311418112,K,5053.284,0.4251129,0.8500141,0.85066368,0.07641962
3076087433168590336,K,4319.8433,0.12745576,0.6357276,0.63737776,0.25957079
1377723326991409792,K,4541.1167,0.1898342,0.70369846,0.70390664,0.02958406
5243679499578371456,K,5229.7803,0.6626101,0.983419,0.99155155,0.82696676
5542025898110508416,K,5224.0703,0.8830737,1.1552237,1.1471854,-0.69582198
3130386363935239040,K,4914.5146,0.30787608,0.76688313,0.76538488,-0.19536939
1962771643070229888,K,4705.0737,0.31622058,0.84615314,0.84628251,0.015289125
5837243773726590592,K,4805.867,0.27393842,0.75264215,0.7549812,0.31077882
3391995128332245376,K,4648.809,0.22668995,0.7478239,0.73398281,-1.8508491
3546323611200338688,K,4610.571,0.19513048,0.6914474,0.69231906,0.12606322
2062936602605221120,K,4636.13,0.25130188,0.7729053,0.77703364,0.53413222
6485262220229951744,K,5028.3506,0.35271326,0.7822308,0.78255154,0.041003638
5701604853930209920,K,4677.745,0.37603432,0.93298966,0.93367089,0.07301532
5532840200012788096,K,4388.8833,0.18864259,0.7540288,0.75121624,-0.37300391
4815392129685329664,K,5252.329,0.36754146,0.73138696,0.73215408,0.10488522
539719299951863808,K,5007.148,0.3914767,0.8314418,0.83142918,-0.0015176139
5792562228215933056,K,4864.9727,0.27735984,0.75712836,0.74133437,-2.0860388
154396004049421440,K,4859.97,0.31274942,0.7969898,0.78883149,-1.0236402
3076163299471021056,K,5286.429,0.49962074,0.84466934,0.84265263,-0.23875689
4696251420520838272,K,4049.9355,0.08857321,0.60247856,0.60451647,0.33825485
1854606155902402816,K,4856.932,0.24772087,0.70079035,0.7029273,0.30493481
5210292760278564480,K,4138.9116,0.092526935,0.5942365,0.59158199,-0.44670853
5185013196951388544,K,4600.6924,0.21490386,0.7292638,0.729674,0.056249038
460564053419258752,K,4609.599,0.30748248,0.86865497,0.86943487,0.089782666
1268128990096214528,K,4428.7583,0.2932155,0.9298692,0.91977725,-1.0853083
4038868119946906240,K,5287.8716,1.0007219,1.1919105,1.1919226,0.0010166195
1541973665349219968,K,4370.2764,0.10286814,0.55512726,0.5594687,0.78206212
396101095432696704,K,5073.7734,0.58115315,0.9883155,0.98658913,-0.17467844
5489058128022464128,K,5080.644,0.44213444,0.8499131,0.85820848,0.97602733
2048041552954315648,K,4193.542,0.09475955,0.5853616,0.58318005,-0.3726835
368237340475249408,K,4502.558,0.14968735,0.63613975,0.6358096,-0.051899434
2065578419809409536,K,4714.138,0.5854562,1.1492877,1.1470855,-0.19161614
5243829617275518976,K,4970.7246,0.9496776,1.3162596,1.3140196,-0.17017669
5927744094804268288,K,4135.3413,0.1076151,0.6345888,0.6390974,0.71047568
5228193256263231872,K,4689.8403,0.24401605,0.74702966,0.74824918,0.16324902
2726425624385918976,K,5268.6343,0.5380881,0.87817085,0.88040752,0.25469678
4637212559552086144,K,4473.428,0.15421711,0.65253204,0.6537904,0.19284223
1813653333487356032,K,4684.722,0.25236186,0.75889856,0.762601,0.48787066
3842841831122109824,K,4877.766,0.29077092,0.75416964,0.75506914,0.11927048
3053814969731762944,K,4965.401,0.29061797,0.724891,0.72846005,0.49235661
638313405262234112,K,5026.9565,0.38811567,0.8249738,0.82134099,-0.44035505
2257348434692705408,K,4430.446,0.13144493,0.6151363,0.61536131,0.036578507
2306867032496555136,K,5028.367,0.32587934,0.74970144,0.75219015,0.33195964
1065881591467674752,K,4788.675,0.29749775,0.7826236,0.79243615,1.2538015
5466429285367722624,K,4994.81,0.32753304,0.7634536,0.76426289,0.1060042
2303687180445652992,K,4314.319,0.10642121,0.583705,0.58390575,0.034391894
6450073445799184000,K,4793.528,0.47846365,1.001986,1.0029219,0.093400714
6799384308512004480,K,5049.2656,0.43234268,0.86077195,0.85923268,-0.17882492
5637767591075087488,K,4494.564,0.28552803,0.87889665,0.88125663,0.26851625
6261185289547342592,K,3990.6812,0.09373807,0.6359672,0.64049699,0.71226817
4659362977234462592,K,4734.6406,0.31018454,0.83032537,0.82773096,-0.31245713
6400874805878454528,K,3917.517,0.10533994,0.70495814,0.70457611,-0.054191601
4118915491413067392,K,4908.917,0.403155,0.8752561,0.87784494,0.29578032
1577615434273925376,K,4407.499,0.15821531,0.6820355,0.68217055,0.019801648
5516501044908590208,K,5253.6646,0.5143894,0.8705538,0.86571408,-0.55593618
422572589484327168,K,4524.1216,0.17916603,0.68818724,0.68898927,0.11654214
142992109964443776,K,4144.432,0.11164974,0.64809275,0.64811486,0.0034122803
2020956527123812352,K,4697.424,0.53656185,1.1070062,1.1059705,-0.093561282
4934657599059015552,K,5099.778,0.38573343,0.809997,0.79559905,-1.7775307
2489056250953295616,K,4202.5093,0.13782656,0.69692045,0.70032923,0.48912034
3383306272055231360,K,4846.8823,0.21006891,0.6458868,0.64999364,0.63584458
416462813829811072,K,4751.691,0.39807802,0.9412964,0.93098113,-1.0958578
4097347088980422144,K,4351.9297,0.26769152,0.9050307,0.91013691,0.56420249
876060529659961344,K,4695.709,0.31797376,0.84975994,0.85201345,0.26519395
1992284764240978176,K,4038.9492,0.093341485,0.62524956,0.62395567,-0.20694056
684185683209085696,K,4823.158,0.38585648,0.8891833,0.88961702,0.048777039
4972278145318569472,K,4504.37,0.19580346,0.7205562,0.72659972,0.83873009
5612582040301204352,K,4926.7085,0.2746795,0.71804196,0.71937038,0.1850057
3769113048129397760,K,4752.283,0.30620083,0.82277066,0.81630368,-0.78600076
1546202868110936704,K,4878.7144,0.2976858,0.76383793,0.76369761,-0.018370791
3019244086467265280,K,4491.052,0.15438965,0.64992976,0.64903196,-0.13813757
5490733027828284416,K,5035.0796,0.35553864,0.79361856,0.78358097,-1.2647871
5916591881476166272,K,4575.7686,0.25053763,0.79501414,0.79645554,0.18130456
1534476232996494976,K,4100.1064,0.09827618,0.6207561,0.62127952,0.084320364
3000261366108117760,K,4306.229,0.11644269,0.6128047,0.61307703,0.044439364
3474340440354025088,K,4806.147,0.2794014,0.74953616,0.76238326,1.7140063
4196443602393466368,K,4996.4062,0.4169363,0.86569595,0.86173263,-0.45781902
1413696942270547968,K,4590.709,0.19176842,0.6938982,0.69228063,-0.23311407
5184795841542053376,K,4355.3,0.20768891,0.8009232,0.80043056,-0.061508454
1575553540733945088,K,4646.064,0.23726462,0.75039965,0.75179473,0.18591143
2815363539408718720,K,4504.788,0.22041476,0.766963,0.77076996,0.49636875
2140552056118672384,K,5089.2144,0.33714855,0.7441949,0.74689975,0.36345994
5851952318808262272,K,4987.6777,0.33279306,0.7715583,0.77258012,0.1324356
6010273575001962880,K,5298.6177,1.8454523,1.6053884,1.6120533,0.41515908
4882092215878188928,K,4052.522,0.10363341,0.65388334,0.65305881,-0.12609738
4660713314948417408,K,5147.6035,0.52508724,0.9113132,0.91108463,-0.025081825
1815573935488765184,K,4313.2744,0.13273893,0.6432401,0.65243634,1.4296743
3590062252470730624,K,4685.288,0.20109463,0.6814256,0.68058256,-0.12371753
1696912652045827584,K,4937.173,0.7475989,1.1811366,1.1817641,0.053127812
5074190744224695552,K,4057.1543,0.0345313,0.3912434,0.37611147,-3.8676518
2023373459835725056,K,4777.358,0.44992056,0.9759552,0.97914161,0.32649129
4102174426062627584,K,4737.0923,0.37301046,0.9065122,0.90675503,0.026787068
2749605459803276544,K,4989.7373,0.44455537,0.8915865,0.89219694,0.06846646
6605693511231593600,K,3900.5981,0.05673997,0.5232063,0.52159726,-0.30753436
3048720382601724800,K,4931.582,0.5766683,1.0390332,1.0402643,0.11848239
6360573237955614336,K,4243.3667,0.2430209,0.9140975,0.91212392,-0.21590465
6095388762964674304,K,4970.498,0.59893227,1.0424892,1.0436196,0.10842904
6721515825584137600,K,4971.4233,0.4078881,0.8608853,0.8609188,0.0038913188
2725262542946633728,K,4530.564,0.21315517,0.7484496,0.74937044,0.12303278
438144324132351616,K,4359.371,0.14313808,0.65732116,0.66325891,0.90332559
4803763110594712064,K,4783.7666,0.24310859,0.71538645,0.71781635,0.33966312
3686656444914785792,K,4146.4575,0.1058472,0.6240006,0.63043222,1.0307074
6508563070646064512,K,5163.5464,0.5867019,0.95540833,0.95711857,0.17900567
503180952309076992,K,4682.164,0.49261042,1.0589881,1.0666249,0.72114057
2771075245402670720,K,4484.9834,0.12844001,0.5935135,0.59358326,0.01175412
5589929008384713856,K,4154.257,0.19093914,0.82295436,0.843556,2.5033764
3821158224871669376,K,4938.7617,0.38437995,0.84586436,0.84683223,0.11442426
5367233923294692352,K,5167.9023,0.43740287,0.82238674,0.82502173,0.32040724
2595812645257391872,K,4530.285,0.23206222,0.7602098,0.78199564,2.8657672
6053710262917643008,K,4028.3003,0.0865665,0.60721457,0.60406603,-0.51852198
1300077911782810240,K,4493.7324,0.2227708,0.7785432,0.77869588,0.019611593
2182038966306414336,K,5134.2144,1.0258776,1.3063177,1.2801266,-2.0049538
1042485530217725952,K,5042.961,0.3834926,0.8107707,0.8112607,0.060435847
3247327847979652864,K,4365.3916,0.15892065,0.6992232,0.69694244,-0.32618509
2061485212902421760,K,5176.773,0.49412602,0.8558086,0.87388398,2.1120824
4631493690338535168,K,4767.9673,0.34755963,0.8647249,0.86397522,-0.086695546
5276948556769561472,K,5080.9316,0.43961534,0.8556606,0.85566326,0.00031047614
195476541604326528,K,4972.021,0.7099367,1.1343805,1.135526,0.1009764
4054497334138827904,K,5158.908,1.1756464,1.3809253,1.3573003,-1.7108074
6719537602317306112,K,4974.2026,0.5241874,0.97809565,0.97487629,-0.32914544
4129969431477146752,K,5201.817,0.98683816,1.2374778,1.2231113,-1.1609477
6023299283097756288,K,4955.6,0.6580691,1.1021864,1.1005162,-0.15153935
6377830210390607616,K,4949.0723,0.39610946,0.8515644,0.85607767,0.52999803
4505995192660765568,K,5275.6035,0.78681105,1.0746496,1.0618033,-1.1953898
6060549190877721472,K,4261.0825,0.19608289,0.81331015,0.81251825,-0.097367424
975141886124643200,K,5038.287,0.40547988,0.84163785,0.83574158,-0.70057095
6647479424152434048,K,4974.383,0.26926783,0.69829947,0.69866173,0.051877494
492703018815707136,K,5239.905,0.81996894,1.0819073,1.0987656,1.5581975
6094085429369219968,K,5104.402,0.7245268,1.087196,1.0884053,0.11123107
330398609878269824,K,5142.398,0.46541256,0.85436636,0.85949002,0.59970291
5912913813227745152,K,5296.7593,0.6894309,0.9833132,0.98600259,0.27350329
3115768601660437376,K,4533.141,0.1755736,0.6730724,0.6793355,0.93052454
3366035658802287744,K,4572.682,0.24448505,0.7878854,0.78783871,-0.0059262937
761206197855800704,K,4357.9927,0.1326306,0.6470805,0.63885461,-1.2712317
6265038356248995968,K,5201.017,1.0656,1.2646703,1.2713752,0.53016622
4510534560758160640,K,5299.4497,0.56480736,0.8914383,0.89154196,0.011627923
1805312610082353792,K,4815.702,0.6520259,1.1605775,1.1600224,-0.047829661
775463908730709376,K,4435.2764,0.1162717,0.5890145,0.57749575,-1.9555969
4578992319354409728,K,4707.311,0.29222906,0.8116931,0.81277264,0.13299894
3671731364841605120,K,4151.5186,0.10444384,0.6282153,0.62471308,-0.55748697
5307998455919212416,K,4829.0664,0.42112964,0.9520516,0.92711736,-2.6190013
4768038706497252864,K,4311.622,0.13487914,0.6563659,0.65817927,0.27627353
4512516774065479552,K,5185.431,0.9224398,1.1354147,1.1900151,4.8088475
5978896743035109888,K,4628.579,0.2783957,0.8207621,0.82051979,-0.02952234
3314418638757982976,K,5253.258,0.50318617,0.86078995,0.85636725,-0.51379606
4239254839973136640,K,4712.759,0.50646406,1.0517724,1.0675224,1.4974763
4331540115055104896,K,4875.753,0.20784923,0.66786045,0.63891631,-4.3338599
888230641614378496,K,4344.804,0.12279903,0.6194674,0.61845805,-0.16293766
2104302429064040704,K,4813.0093,0.31895626,0.80861944,0.81224178,0.44796584
2048306947567698944,K,4100.4307,0.11159479,0.6587384,0.66193625,0.48545123
5955691034690083840,K,5193.573,0.5998136,0.95566964,0.9565966,0.096996205
2116223471567627264,K,4574.0254,0.21264793,0.73317873,0.7343221,0.15594647
6869444708399977344,K,4280.2793,0.13741237,0.66993046,0.67409617,0.62181198
1920090766339518720,K,4931.7905,0.38666594,0.8548764,0.85174949,-0.3657737
1668492441131072640,K,4733.3228,0.21989657,0.70062333,0.69731682,-0.47193807
6158742313714137344,K,4766.855,0.5875462,1.1147078,1.123855,0.82059323
5601604688009672320,K,4575.266,0.16914907,0.65485305,0.65456876,-0.04341352
2990107204425832320,K,4820.342,0.339944,0.83484685,0.83599012,0.13694408
4266837493595177600,K,4043.6018,0.10631651,0.672465,0.66438031,-1.2022466
2899056302934501120,K,4449.3916,0.15538625,0.66046494,0.66337361,0.4403978
6344269984478660352,K,4954.795,0.26743355,0.71145487,0.70179412,-1.3578868
2222579025166752128,K,5109.589,0.79123586,1.1346691,1.1351002,0.037994663
3637035210275375744,K,4759.494,0.20217635,0.6583905,0.66129733,0.4415055
