source_id,spec_class,teff_K,L_Lsun,scenario,A,eps,a_in_AU,a_out_AU,width_AU,d_a_in_AU,d_a_out_AU,d_width_AU,d_a_in_pct,d_a_out_pct,d_width_pct
5348018377058395648,M,3769.0483,0.045290183,midA_strongGH,0.3,0.3,0.18086032,0.33752642,0.1566661,0.052972761,0.098859201,0.045886439,41.421356,41.421356,41.421356
3083391007877181056,M,3719.4048,0.03960024,midA_strongGH,0.3,0.3,0.16911813,0.31561283,0.1464947,0.049533553,0.092440857,0.042907304,41.421356,41.421356,41.421356
523058610717878144,M,3317.4429,0.0123106,midA_strongGH,0.3,0.3,0.094293307,0.17597272,0.081679414,0.02761787,0.051541217,0.023923346,41.421356,41.421356,41.421356
6536703490210003584,M,3701.8616,0.05871038,midA_strongGH,0.3,0.3,0.20592008,0.38429363,0.17837355,0.060312596,0.112557,0.052244402,41.421356,41.421356,41.421356
6439067166905943296,M,3806.3374,0.064768896,midA_strongGH,0.3,0.3,0.21628406,0.40363516,0.1873511,0.063348133,0.118222,0.054873867,41.421356,41.421356,41.421356
1341070110447142272,M,3781.108,0.03890118,midA_strongGH,0.3,0.3,0.16761877,0.31281468,0.14519591,0.049094401,0.091621299,0.042526898,41.421356,41.421356,41.421356
2911971819348142464,M,3680.061,0.05983557,midA_strongGH,0.3,0.3,0.20788396,0.38795866,0.18007471,0.060887801,0.11363046,0.052742661,41.421356,41.421356,41.421356
3388883162533300992,M,3731.2131,0.08945878,midA_strongGH,0.3,0.3,0.25418665,0.47437001,0.22018336,0.074449547,0.13893976,0.064490212,41.421356,41.421356,41.421356
3723127344395011712,M,3442.6255,0.011248793,midA_strongGH,0.3,0.3,0.090135157,0.16821267,0.078077512,0.026399976,0.04926835,0.022868374,41.421356,41.421356,41.421356
5243292261031339008,M,3818.925,0.06766898,midA_strongGH,0.3,0.3,0.22107319,0.41257276,0.19149958,0.064750837,0.12083976,0.056088927,41.421356,41.421356,41.421356
4080011780682157056,M,3811.297,0.12935826,midA_strongGH,0.3,0.3,0.30565981,0.57043061,0.2647708,0.089525686,0.16707526,0.077549572,41.421356,41.421356,41.421356
1338774879926225024,M,3567.793,0.07772871,midA_strongGH,0.3,0.3,0.23693651,0.44217733,0.20524082,0.069397097,0.12951074,0.060113643,41.421356,41.421356,41.421356
1999737739399072896,M,3749.416,0.036642056,midA_strongGH,0.3,0.3,0.16267888,0.30359573,0.14091685,0.047647541,0.08892113,0.041273589,41.421356,41.421356,41.421356
