spec_class,n,med_teff_K,med_L_Lsun,med_a_in_AU,med_a_out_AU,med_abs_d_a_in_midA_midGH_REF,med_abs_d_a_in_lowA_weakGH,med_abs_d_a_in_lowA_midGH,med_abs_d_a_in_lowA_strongGH,med_abs_d_a_in_midA_weakGH,med_abs_d_a_in_midA_strongGH,med_abs_d_a_in_highA_weakGH,med_abs_d_a_in_highA_midGH,med_abs_d_a_in_highA_strongGH
F,615,6315.8247,3.1551056,1.0674148,1.9920383,0,0.12989363,0.14291981,0.64425681,0.24059885,0.44213768,0.36862777,0.16528464,0.2083899
G,673,5666.5166,1.2830427,0.68068599,1.2703146,0,0.082832634,0.091139375,0.41083991,0.15342889,0.28194937,0.23507241,0.10540133,0.13288938
K,632,4709.003,0.28628498,0.32153271,0.60005304,0,0.039127294,0.043051114,0.19406668,0.072474544,0.13318321,0.11104014,0.049787972,0.062772384
M,750,3558.1147,0.035171916,0.11269999,0.21032376,0,0.013714454,0.015089786,0.068022043,0.025402952,0.046681862,0.038920526,0.017451113,0.022002261
